City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
87,itarema,0,BR,1575306812,50,-2.92,-39.92,89.4,13.73
88,ambilobe,69,MG,1575306812,69,-13.19,49.05,79.61,9.42
89,lianzhou,0,CN,1575306813,71,24.79,112.38,37.99,5.17
90,lavrentiya,8,RU,1575306813,78,65.58,-170.99,19.18,5.64
91,mahebourg,20,MU,1575306813,65,-20.41,57.7,78.01,8.05
92,guangyuan,91,CN,1575306813,86,32.43,105.86,43.0,2.08
93,dubbo,0,AU,1575306813,57,-32.25,148.6,50.0,4.7
94,tamandare,71,BR,1575306813,51,-8.28,-70.75,90.82,4.0
95,thompson,90,CA,1575306813,92,55.74,-97.86,14.0,5.82
96,puurmani,0,EE,1575306814,92,58.57,26.29,25.0,8.05
97,nyazepetrovsk,97,RU,1575306814,92,56.06,59.6,19.31,9.26
98,new norfolk,74,AU,1575306814,53,-42.78,147.06,50.0,20.8
99,kaitangata,100,NZ,1575306814,82,-46.28,169.85,57.0,1.01
100,devils lake,1,US,1575306814,73,48.11,-98.87,26.6,16.11
101,alenquer,40,BR,1575306815,59,-1.95,-54.74,89.6,13.87
102,luganville,41,VU,1575306815,88,-15.51,167.18,68.83,1.95
103,saskylakh,95,RU,1575306815,92,71.97,114.09,-27.85,5.08
104,khatanga,0,RU,1575306633,86,71.98,102.47,-25.51,7.63
105,huaiyuan,0,CN,1575306815,41,32.97,117.2,36.28,4.7
106,takoradi,80,GH,1575306815,80,4.89,-1.75,81.84,16.24
107,bonthe,73,SL,1575306815,73,7.53,-12.5,82.98,9.71
108,gat,13,SN,1575306816,40,14.69,-16.54,100.4,12.75
109,vila velha,20,BR,1575306816,52,-3.71,-38.6,89.6,12.75
110,tadine,40,NC,1575306816,83,-21.55,167.88,71.37,6.78
111,carnarvon,38,ZA,1575306816,16,-30.97,22.13,76.35,18.66
112,usinsk,11,RU,1575306816,90,66.0,57.56,3.15,11.43
113,oktyabrskiy,40,RU,1575306816,79,55.61,37.97,27.0,13.42
114,hasaki,75,JP,1575306816,100,35.73,140.83,50.0,4.7
115,hermanus,29,ZA,1575306817,66,-34.42,19.24,68.0,8.01
116,la ronge,20,CA,1575306817,85,55.1,-105.3,10.4,6.93
117,touros,20,BR,1575306817,55,-5.2,-35.46,87.8,13.87
